Placa,Grupo,Modelo_Original,Modelo_Padrao,Modelo_Simplificado
SEP6E19,Médio,SAVEIRO ROBUST 1.6 TOTAL FLEX 16V,VW SAVEIRO,VW SAVEIRO
SEP6E20,Médio,SAVEIRO ROBUST 1.6 TOTAL FLEX 16V,VW SAVEIRO,VW SAVEIRO
SEP6E21,Médio,SAVEIRO ROBUST 1.6 TOTAL FLEX 16V,VW SAVEIRO,VW SAVEIRO
SEP6E22,Médio,SAVEIRO ROBUST 1.6 TOTAL FLEX 16V,VW SAVEIRO,VW SAVEIRO
SEP6E23,Médio,SAVEIRO ROBUST 1.6 TOTAL FLEX 16V,VW SAVEIRO,VW SAVEIRO
SEP6E24,Médio,SAVEIRO ROBUST 1.6 TOTAL FLEX 16V,VW SAVEIRO,VW SAVEIRO
SEP6E26,Médio,SAVEIRO ROBUST 1.6 TOTAL FLEX 16V,VW SAVEIRO,VW SAVEIRO
SEP6E28,Médio,SAVEIRO ROBUST 1.6 TOTAL FLEX 16V,VW SAVEIRO,VW SAVEIRO
SEP6E30,Médio,SAVEIRO ROBUST 1.6 TOTAL FLEX 16V,VW SAVEIRO,VW SAVEIRO
SEP6E33,Médio,SAVEIRO ROBUST 1.6 TOTAL FLEX 16V,VW SAVEIRO,VW SAVEIRO
SEP6E34,Médio,SAVEIRO ROBUST 1.6 TOTAL FLEX 16V,VW SAVEIRO,VW SAVEIRO
SEP6E35,Médio,SAVEIRO ROBUST 1.6 TOTAL FLEX 16V,VW SAVEIRO,VW SAVEIRO
SEP6E36,Médio,SAVEIRO ROBUST 1.6 TOTAL FLEX 16V,VW SAVEIRO,VW SAVEIRO
SEP8G23,Pesado,MASTER 2.3 DCI EXTRA FURGÃO 16V DIESEL,RENAULT MASTER,RENAULT MASTER
SEP8G24,Pesado,MASTER 2.3 DCI EXTRA FURGÃO 16V DIESEL,RENAULT MASTER,RENAULT MASTER
SEQ4C62,Médio,STRADA ENDURANCE 1.4 FLEX 8V CS PLUS,FIAT STRADA,FIAT STRADA
SER6J04,Leve,CRONOS DRIVE 1.0 6V FLEX,FIAT CRONOS,FIAT CRONOS
SER6J08,Leve,CRONOS DRIVE 1.0 6V FLEX,FIAT CRONOS,FIAT CRONOS
SER6J12,Leve,CRONOS DRIVE 1.0 6V FLEX,FIAT CRONOS,FIAT CRONOS
SES0D47,Pesado,MASTER 2.3 DCI EXTRA FURGÃO 16V DIESEL,RENAULT MASTER,RENAULT MASTER
SES1B62,Pesado,MASTER 2.3 DCI CHASSI 16V DIESEL,RENAULT MASTER CHASSI,RENAULT MASTER
SES1B65,Pesado,MASTER 2.3 DCI CHASSI 16V DIESEL,RENAULT MASTER CHASSI,RENAULT MASTER
SES1G46,Leve,CRONOS DRIVE 1.0 6V FLEX,FIAT CRONOS,FIAT CRONOS
SES2D41,Caminhão17Ton,30-330 CONSTELLATION 8X2 2P (DIESEL)(E5),VOLVO VM 330,CAMINHÃO BITRUCK
SES4D42,Leve,CRONOS DRIVE 1.0 6V FLEX,FIAT CRONOS,FIAT CRONOS
SET4H66,Caminhão4.2Ton,HD80 3.0 16V (DIESEL)(E5),HY HD80,CAMINHÃO 3/4
SET9J51,Pesado,SPRINTER 417 CHASSI L.T.B. DIES. (E6),MB SPRINTER CHASSI,MB SPRINTER
SEU1E66,Caminhão4.2Ton,HD80 3.0 16V (DIESEL)(E5),HY HD80,CAMINHÃO 3/4
SEU2F72,Caminhão4.2Ton,HD80 3.0 16V (DIESEL)(E5),HY HD80,CAMINHÃO 3/4
SEU2F73,Caminhão4.2Ton,HD80 3.0 16V (DIESEL)(E5),HY HD80,CAMINHÃO 3/4
SEU2F74,Caminhão4.2Ton,HD80 3.0 16V (DIESEL)(E5),HY HD80,CAMINHÃO 3/4
SEV2J95,Leve,SPIN PREMIER 1.8 8V ECONO.FLEX 5P AUT.,GM SPIN,GM SPIN
SEW5B71,Caminhão17Ton,30-330 CONSTELLATION 8X2 2P (DIESEL)(E5),VOLVO VM 330,CAMINHÃO BITRUCK
SEW5B72,Caminhão17Ton,30-330 CONSTELLATION 8X2 2P (DIESEL)(E5),VOLVO VM 330,CAMINHÃO BITRUCK
